Date,Actual_Close,Ridge_Pred,Ridge_Residual
2010-09-13,20.02782249,19.99848779440939,0.029334695590609527 
2010-09-14,19.87596512,20.01084279728071,-0.1348776772807092
2010-09-15,19.81729698,19.91229848222363,-0.09500150222363146
2010-09-16,19.84836197,19.828293771653925,0.020068198346073984
2010-09-17,19.86561775,19.8385005034182,0.027117246581799037
2010-09-20,20.00711632,19.89698993045898,0.11012638954102272
2010-09-21,20.055439,20.038658453606256,0.01678054639374338
2010-09-22,20.09685326,20.089609015103093,0.007244244896906338
2010-09-23,19.97260094,20.078489086772677,-0.10588814677267777
2010-09-24,20.23145485,20.040563484846118,0.19089136515388105
2010-09-27,20.22454643,20.195122322758447,0.029424107241553088
2010-09-28,20.39711571,20.25158918205404,0.145526527945961
2010-09-29,20.2797718,20.351597970324498,-0.07182617032449912
2010-09-30,20.19693947,20.282808195555514,-0.08586872555551395
2010-10-01,20.4040184,20.24786883097926,0.15614956902074084
2010-10-04,20.32118797,20.384771024981994,-0.06358305498199357
2010-10-05,20.59038353,20.365936607487924,0.22444692251207599
2010-10-06,20.63869858,20.595364960999877,0.04333361900012278
2010-10-07,20.5144558,20.640677364357845,-0.12622156435784504
2010-10-08,20.5041008,20.512541932968297,-0.008441132968297183
2010-10-11,20.55586815,20.54283641801085,0.013031731989148199
2010-10-12,20.56967926,20.537309520098514,0.03236973990148684
2010-10-13,20.68702126,20.576316227659202,0.11070503234079965
2010-10-14,20.67667007,20.697091313008197,-0.020421243008197365
2010-10-15,20.68702126,20.68965497284138,-0.0026337128413800315
2010-10-18,20.70772362,20.71717390382545,-0.009450283825451322
2010-10-19,20.82507324,20.740820371807583,0.08425286819241506
2010-10-20,21.10462761,20.86961745726508,0.23501015273492243
2010-10-21,21.21506691,21.114328593348887,0.10073831665111399
2010-10-22,21.26338959,21.220110790663988,0.04327879933601153
2010-10-25,21.05630684,21.220437693388895,-0.16413085338889388
2010-10-26,21.1356926,21.107536292936334,0.028156307063664343
2010-10-27,21.11843872,21.112451913521046,0.005986806478954776
2010-10-28,21.12533951,21.09362101102249,0.031718498977511445
2010-10-29,21.16329765,21.120554728527235,0.04274292147276526
2010-11-01,21.29789543,21.231772645510077,0.0661227844899237
2010-11-02,21.34966469,21.329835960276974,0.019828729723027294
2010-11-03,21.38073158,21.366278740458885,0.014452839541114315
2010-11-04,21.55329704,21.4267917069204,0.12650533307959932
2010-11-05,21.5981617,21.552856765178362,0.04530493482163678
2010-11-08,21.55674744,21.582683774101657,-0.025936334101658076
2010-11-09,21.61886787,21.569098266237148,0.04976960376285078
2010-11-10,21.58780861,21.61907180089244,-0.031263190892438786
2010-11-11,21.67408562,21.60781247477543,0.06627314522457084
2010-11-12,21.71549988,21.681910945204574,0.03358893479542502
2010-11-15,21.72930908,21.724727567478407,0.004581512521593112
2010-11-16,21.42559814,21.653672541588648,-0.22807440158864623
2010-11-17,21.57745361,21.50301028191381,0.07444332808618981
2010-11-18,22.0330162,21.678613580255966,0.3544026197440324
2010-11-19,22.19868279,22.03971926014527,0.15896352985473072
2010-11-22,22.18143082,22.166379693613155,0.015051126386843805
2010-11-23,21.9570961,22.1702918818973,-0.21319578189729782
2010-11-24,22.298769,22.08493605100096,0.21383294899904115
2010-11-26,22.12620735,22.223417577851574,-0.09721022785157274
2010-11-29,22.02890778,22.055022447375745,-0.02611466737574375
2010-11-30,21.95245552,21.998259612408205,-0.045804092408204156
2010-12-01,22.48414993,22.130951977157014,0.3531979528429865
2010-12-02,22.55365753,22.482065215868772,0.07159231413122669
2010-12-03,22.41464424,22.515510049115004,-0.1008658091150032
2010-12-06,22.23741913,22.3952390489694,-0.15781991896940184
2010-12-07,22.28953362,22.294941601119504,-0.005407981119503802
2010-12-08,22.37641907,22.29854325535835,0.07787581464165072
2010-12-09,22.52932167,22.354435534083805,0.1748861359161964
2010-12-10,22.46676636,22.491054253669752,-0.024287893669750815
2010-12-13,22.53627396,22.527780515471072,0.008493444528927085
2010-12-14,22.20613861,22.498049007240695,-0.2919103972406951
2010-12-15,22.49804878,22.30001752087061,0.19803125912939024
2010-12-16,22.70655441,22.505921451760603,0.20063295823939598
2010-12-17,22.83166313,22.713454780515338,0.11820834948466086
2010-12-20,22.69612312,22.781754270190767,-0.08563115019076761
2010-12-21,22.75868416,22.769325278955243,-0.01064111895524178
2010-12-22,22.79343796,22.780624283889384,0.012813676110614125
2010-12-23,22.78995895,22.76719301930244,0.02276593069755961
2010-12-27,22.61272812,22.71341993202196,-0.1006918120219602
2010-12-28,22.71350479,22.64244968593495,0.07105510406505289
2010-12-29,22.74478531,22.74480279226587,-1.748226586784085e-05
2010-12-30,22.76215553,22.755909070657978,0.0062464593420230585
2010-12-31,22.85598183,22.782204592178495,0.07377723782150625
2011-01-03,22.66485977,22.81362486127157,-0.14876509127157078
